id;en;de;fr;it;es;zh;ja;ko;pt;pl;ru;tr
en;English;Englisch;Anglais;Inglese;Inglés;英语;英語;영어;Inglês;Angielski;Английский язык;İngilizce
de;German;Deutsch;Allemand;Tedesco;Alemán;德国;ドイツ語;독일어;Alemão;Niemiecki;Немецкий язык;Alman
es;Spanish;Spanisch;Espagnol;Spagnolo;Español;西班牙;スペイン語;스페인어;Espanhol;Hiszpański;Испанский;İspanyolca
fr;French;Französisch;Français;Francese;Francés;法语;フランス語;French;Francês;Francuski;Французский;Fransızca
it;Italian;Italienisch;Italien;Italiano;Italiano;意大利语;イタリア語;Italian;Italiano;Włoski;Итальянский;İtalyan
zh;Chinese;Chinesisch;Chinois;Cinese;Chino;中文;中国語;중국어;Chinês;Chiński;Китайский;Çince
ja;Japanese;Japanisch;Japonais;Giapponese;Japonés;日本人;日本;일본어;Japonês;Japoński;Японский;Japonca
ko;Korean;Koreanisch;Coréen;coreano;Coreano;韩国语;韓国語;한국어;Coreano;Koreański;Корейский;Korece
pt;Portuguese;Portugiesisch;Portugais;Portoghese;Portugués;葡萄牙语;ポルトガル語;포르투갈어;Português;Portugalski;Португальский;Portekizce
pl;Polish;Polnisch;Polonais;Polacco;Polaco;波兰语;ポーランド;폴란드어;Polaco;Polski;Польша;Lehçe
ru;Russian;Russisch;Russe;russo;Ruso;俄语;ロシア語;러시아어;Russo;Rosyjski;Русский;Rusça
tr;Turkish;Türkisch;Turc;turco;Turco;土耳其语;トルコ語;터키어;turco;Turecki;Турецкая;Türkçe
SPAWN_AMOUNT;Amount of Effects;Anzahl der Effekte;Quantité d'effets;Quantità di effetti;Cantidad de efectos;效果的数量;効果量;효과의 양;Quantidade de Efeitos;Ilość efektów;Количество эффектов;Etki Miktarı
;;;;;;;;;;;;
;;;;;;;;;;;;
SKILL_RANGE_BLEEDING_BURST;Sanguine Shot;Blutiger Schuss;Coup de sang;Colpo Sanguinario;Golpe Sanguinario;圣光射击;サングィーン・ショット;산긴 샷;Tiro Sanguíneo;Sanguine Shot;Выстрел сангвиника;Sanguine Shot
SKILL_MELEE_BLEEDING_BURST;Sanguine Strike;Blutiger Hieb;Frappe sanglante;Colpo Sanguigno;Golpe Sanguinario;圣光一击;サングイン・ストライク;산긴 스트라이크;Golpe Sanguíneo;Sanguine Strike;Сангвинический удар;Sanguine Strike
SKILL_RANGE_BLEEDING_BURST_DESC;Your projectiles create a blood splash covering enemies behind the hit position applying bleeding condition to all enemies behind. Size scales with AoE size.;Deine Geschosse erzeugen einen Blutspritzer, der die Feinde hinter der getroffenen Position bedeckt und alle dahinter befindlichen Feinde bluten lässt. Die Größe skaliert mit der AoE-Größe.;Vos projectiles créent une éclaboussure de sang couvrant les ennemis situés derrière la position touchée et appliquant la condition de saignement à tous les ennemis situés derrière. La taille des projectiles est proportionnelle à la taille de l'AoE.;I proiettili creano uno schizzo di sangue che copre i nemici dietro la posizione colpita, applicando la condizione di sanguinamento a tutti i nemici dietro. La dimensione scala con la dimensione dell'AoE.;Tus proyectiles crean una salpicadura de sangre que cubre a los enemigos situados detrás de la posición de impacto y aplica la condición de hemorragia a todos los enemigos situados detrás. El tamaño varía con el tamaño de AoE.;您的射弹会产生血花，覆盖击中位置后方的敌人，并对后方所有敌人造成流血效果。大小与 AoE 大小成比例。;命中した位置の背後の敵に血しぶきを発生させ、背後の敵全てに出血状態を与える。サイズはAoEのサイズに比例する。;투사체가 피를 튀기며 적중 위치 뒤의 적을 덮어 뒤에 있는 모든 적에게 출혈 상태를 적용합니다. 범위 크기에 따라 크기가 조정됩니다.;Os teus projécteis criam uma mancha de sangue que cobre os inimigos atrás da posição atingida, aplicando a condição de sangramento a todos os inimigos atrás. O tamanho é proporcional ao tamanho da área de ação.;Twoje pociski tworzą rozbryzg krwi, który pokrywa wrogów znajdujących się za trafioną pozycją, powodując krwawienie u wszystkich wrogów znajdujących się za nią. Rozmiar skaluje się wraz z zasięgiem.;Ваши снаряды создают брызги крови, покрывающие врагов за местом попадания и накладывающие состояние кровотечения на всех врагов позади. Размер зависит от размера АоЕ.;Mermileriniz, isabet ettiği konumun arkasındaki rakipleri kapsayan bir kan sıçraması yaratır ve arkadaki tüm rakiplere kanama koşulu uygular. Boyut, etki alanı boyutuyla ölçeklenir.
SKILL_MELEE_BLEEDING_BURST_DESC;Your melee hits create a blood splash covering enemies behind the hit position applying bleeding condition to all enemies behind. Size scales with AoE size.;Deine Nahkampftreffer erzeugen einen Blutspritzer, der alle Feinde hinter der Trefferposition bedeckt und alle dahinter befindlichen Feinde bluten lässt. Die Größe skaliert mit der AoE-Größe.;Vos coups de mêlée créent une éclaboussure de sang couvrant les ennemis situés derrière la position touchée et appliquant une condition de saignement à tous les ennemis situés derrière. La taille est fonction de la taille de l'AoE.;I colpi in mischia creano uno schizzo di sangue che copre i nemici dietro la posizione colpita, applicando la condizione di sanguinamento a tutti i nemici dietro. La dimensione scala con la dimensione AoE.;Tus golpes cuerpo a cuerpo crean una salpicadura de sangre que cubre a los enemigos situados detrás de la posición de impacto y aplica la condición de hemorragia a todos los enemigos situados detrás. El tamaño varía con el tamaño de AoE.;您的近战攻击会产生血花，覆盖击中位置后方的敌人，并对后方所有敌人施加流血效果。大小与 AoE 大小成比例。;あなたの近接攻撃はヒットした位置の後方の敵を覆う血しぶきを発生させ、後方の全ての敵に出血状態を与える。サイズはAoEサイズに比例する。;근접 공격이 적중하면 피가 튀는 물보라를 일으켜 적중 위치 뒤의 모든 적에게 출혈 상태를 부여합니다. 범위 크기에 따라 크기가 조정됩니다.;Os teus golpes corpo a corpo criam uma mancha de sangue que cobre os inimigos atrás da posição de ataque, aplicando a condição de sangramento a todos os inimigos atrás. O tamanho varia com o tamanho da área de ação.;Trafienia w walce wręcz powodują rozbryzg krwi, który pokrywa wrogów znajdujących się za trafioną pozycją, powodując krwawienie u wszystkich wrogów znajdujących się za nią. Rozmiar skaluje się wraz z zasięgiem.;Ваши удары в ближнем бою создают брызги крови, покрывающие врагов за местом попадания и накладывающие состояние кровотечения на всех врагов позади. Размер зависит от размера АоЕ.;Yakın dövüş vuruşlarınız, vuruş pozisyonunun arkasındaki rakipleri kapsayan bir kan sıçraması yaratır ve arkadaki tüm rakiplere kanama koşulu uygular. Boyut, etki alanı boyutuyla ölçeklenir.
SKILL_MELEE_ATK_STONE_BOULDER;Stone Toss;Steinwurf;Le lancer de pierres;Lancio di pietre;Lanzamiento de piedras;扔石头;ストーン・トス;돌 던지기;Arremesso de pedras;Stone Toss;Каменный жребий;Taş Atma
SKILL_RANGE_ATK_STONE_BOULDER;Stone Surge;Steinschlag;Sursaut de la pierre;Impennata della pietra;Oleada de piedras;石涌;ストーン・サージ;스톤 서지;Surto de pedras;Stone Surge;Каменный всплеск;Taş Dalgası
SKILL_MELEE_ATK_STONE_BOULDER_DESC;Your melee attacks cast a stone boulder in a random direction which is piercing through all enemies. Damage scales with your melee damage.;Deine Nahkampfangriffe schleudern einen Steinbrocken in eine zufällige Richtung, der alle Gegner durchbohrt. Der Schaden skaliert mit deinem Nahkampfschaden.;Vos attaques de mêlée projettent un bloc de pierre dans une direction aléatoire qui transperce tous les ennemis. Les dégâts sont proportionnels aux dégâts que vous infligez en mêlée.;I tuoi attacchi in mischia lanciano un masso di pietra in una direzione casuale che attraversa tutti i nemici. I danni aumentano in base ai danni in mischia.;Tus ataques cuerpo a cuerpo lanzan una roca de piedra en una dirección aleatoria que atraviesa a todos los enemigos. El daño se escala con tu daño cuerpo a cuerpo.;你的近战攻击会向随机方向投掷一块石块，石块会穿透所有敌人。伤害与你的近战伤害成比例。;あなたの近接攻撃は全ての敵を貫通する石の塊をランダムな方向に投げつける。ダメージは近接攻撃のダメージに比例する。;근접 공격 시 모든 적을 관통하는 돌덩이를 무작위 방향으로 던집니다. 피해량은 근접 공격력에 따라 증가합니다.;Os teus ataques corpo a corpo lançam um pedregulho de pedra numa direção aleatória que atravessa todos os inimigos. O dano é proporcional ao teu dano corpo a corpo.;Twoje ataki w walce wręcz wyrzucają w losowym kierunku kamienny głaz, który przebija wszystkich wrogów. Obrażenia skalują się wraz z obrażeniami zadawanymi w walce wręcz.;Ваши атаки ближнего боя отбрасывают в случайном направлении каменную глыбу, которая пронзает всех врагов насквозь. Урон зависит от вашего урона в ближнем бою.;Yakın dövüş saldırılarınız tüm düşmanları delip geçen bir taş kayayı rastgele bir yöne fırlatır. Hasar, yakın dövüş hasarınızla ölçeklenir.
SKILL_RANGE_ATK_STONE_BOULDER_DESC;Your range attacks cast a stone boulder in a random direction which is piercing through all enemies. Damage scales with your melee damage.;Deine Fernkampfangriffe schleudern einen Steinbrocken in eine zufällige Richtung, der alle Gegner durchbohrt. Der Schaden skaliert mit deinem Nahkampfschaden.;Vos attaques à distance projettent un bloc de pierre dans une direction aléatoire qui transperce tous les ennemis. Les dégâts sont proportionnels à vos dégâts de mêlée.;I tuoi attacchi a distanza lanciano un masso di pietra in una direzione casuale che attraversa tutti i nemici. Il danno è proporzionale al danno in mischia.;Tus ataques a distancia lanzan una roca de piedra en una dirección aleatoria que atraviesa a todos los enemigos. El daño se escala con tu daño cuerpo a cuerpo.;你的范围攻击会向随机方向投掷一块石块，石块会穿透所有敌人。伤害与近战伤害成比例。;範囲攻撃はランダムな方向に石の塊を投げつけ、全ての敵を貫通する。ダメージは近接攻撃のダメージに比例する。;범위 공격으로 모든 적을 관통하는 돌덩이를 무작위 방향으로 시전합니다. 피해량은 근접 공격력에 따라 증가합니다.;Os teus ataques à distância lançam um pedregulho numa direção aleatória que atravessa todos os inimigos. O dano é proporcional ao teu dano corpo a corpo.;Twoje ataki dystansowe wyrzucają kamienny głaz w losowym kierunku, który przebija wszystkich wrogów. Obrażenia skalują się z obrażeniami zadawanymi w walce wręcz.;Ваши атаки дальнего боя отбрасывают в случайном направлении каменную глыбу, которая пронзает всех врагов насквозь. Урон зависит от вашего урона в ближнем бою.;Menzilli saldırılarınız tüm düşmanları delip geçen bir taş kayayı rastgele bir yöne fırlatır. Hasar, yakın dövüş hasarınızla ölçeklenir.
