id;en;de;fr;it;es;zh;ja;ko;pt;pl;ru;tr
ACHIEV_STONEHOLD;Stonehold;Stonehold;Stonehold;Stonehold;Stonehold;斯通霍尔德;ストーンホールド;돌 거점;Stonehold;Stonehold;Стоунхолд;Stonehold
ACHIEV_BEACH;Beach Time;Am Strand;L'heure de la plage;Tempo di spiaggia;Tiempo de playa;海滩时光;ビーチタイム;해변 시간;Tempo de praia;Czas na plaży;Время на пляже;Plaj Zamanı
ACHIEV_CELLAR;Basement of Ankerath;Gewölbe von Ankerath;Le sous-sol d'Ankerath;Seminterrato di Ankerath;Sótano de Ankerath;安克拉特地下室;アンケラスの地下室;안케라스의 지하실;Cave de Ankerath;Piwnica Ankerath;Подвал Анкерата;Ankerath'ın Bodrum Katı
ACHIEV_DESCENT;The Descent;Der Abstieg;La descente;La Discesa;El Descenso;下坠;降下;하강;A Descida;The Descent;Спуск;İniş
ACHIEV_WOODS;Lost in the forest;Verloren im Wald;Perdu dans la forêt;Persi nella foresta;Perdidos en el bosque;迷失在森林中;森に迷い込む;숲에서 길을 잃다;Perdidos na floresta;Zagubiony w lesie;Затерянный в лесу;Ormanda kaybolmak
ACHIEV_SANDS;Into the desert;In die Wüste;Dans le désert;Nel deserto;Hacia el desierto;进入沙漠;砂漠の中へ;사막 속으로;Para o deserto;Na pustynię;В пустыню;Çöle doğru
ACHIEV_HIDEOUT;Invading Hideout;Geheimversteck;L'invasion de la cachette;Invasione del nascondiglio;Escondite invasor;入侵藏身处;侵入する隠れ家;침입 은신처;Esconderijo invasor;Kryjówka najeźdźców;Вторжение в убежище;İstilacı Sığınak
ACHIEV_ICE;Frozen;Gefroren;Surgelés;Congelato;Congelado;冷冻;凍てつく;Frozen;Congelado;Zamrożony;Замороженный;Dondurulmuş
ACHIEV_MOUNTAINS;Beyond all trees;Jenseits aller Bäume;Au-delà des arbres;Oltre gli alberi;Más allá de los árboles;在所有的树木之外;すべての木の向こう側;모든 나무 너머;Para além de todas as árvores;Poza wszystkimi drzewami;За всеми деревьями;Tüm ağaçların ötesinde
ACHIEV_GATEKEEPER;Aureate Dome;Goldene Kuppel;Dôme d'Aureate;Cupola Aureata;Cúpula Aureata;金顶;アウレア・ドーム;오레아트 돔;Cúpula Aureate;Aureate Dome;Купол Ауреаты;Aureate Kubbesi
ACHIEV_LAVA;Seeker of the forlorn lands;Sucher der Verlorenen Lande;Chercheur de terres désolées;Cercatore di terre abbandonate;Buscador de las tierras desamparadas;荒凉之地的探索者;荒れ地の探求者;버려진 땅의 구도자;Buscador das terras desesperadas;Poszukiwacz opuszczonych ziem;Искатель заброшенных земель;Issız toprakların arayıcısı
ACHIEV_SWAMP;Wanderer;Wanderer;Wanderer;Viandante;Wanderer;流浪者;さすらい人;방랑자;Wanderer;Turysta;Хайкер;Yürüyüşçü
ACHIEV_COURTYARD;The courtyard of Ankerath;Der Hof von Ankerath;La cour d'Ankerath;Il cortile di Ankerath;El patio de Ankerath;安克拉特庭院;アンケラスの中庭;안케라스의 안뜰;O pátio de Ankerath;Dziedziniec Ankerath;Двор Анкерата;Ankerath'ın avlusu
ACHIEV_VOID;Into the void;In die Leere;Dans le vide;Nel vuoto;Al vacío;进入虚空;虚空へ;허공 속으로;Para o vazio;W pustkę;В пустоту;Boşluğa doğru
ACHIEV_CAVE;Explorer;Entdecker;Explorer;Esploratore;Explorador;探测器;探検家;탐험가;Explorador;Odkrywca;Explorer;Kaşif
ACHIEV_AEODRA;Final destination;Endziel;Destination finale;Destinazione finale;Destino final;最终目的地;最終目的地;최종 목적지;Destino final;Miejsce docelowe;Конечный пункт назначения;Son varış noktası
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
ACHIEV_BEACH_DESC;;;;;;;;;;;;
;;;;;;;;;;;;
ACHIEV_CELLAR_DESC;Complete wave 5 in the Beach map;Schließe Wave 5 auf der Map Strand ab.;Terminez la vague 5 de la carte Plage;Completa l'ondata 5 nella mappa Beach;Completa la oleada 5 del mapa Playa;完成海滩地图中的第 5 波;ビーチ・マップのウェーブ5を完了する;해변 맵에서 파도 5 완료;Completar a onda 5 no mapa Beach;Ukończ falę 5 na mapie Plaża;"Завершите пятую волну на карте ""Пляж";Plaj haritasında 5. dalgayı tamamlayın
ACHIEV_DESCENT_DESC;Complete the first 10 waves in the Basement map;Schließe die ersten 10 Waves auf der Map Gewölbe ab.;Terminez les 10 premières vagues de la carte Cave.;Completa le prime 10 ondate nella mappa Cantina;Completa las 10 primeras oleadas del mapa Sótano.;完成地窖地图的前 10 波;セラー・マップで最初の10ウェーブを完了する;지하실 맵에서 처음 10개의 파도 완료하기;Completar as 10 primeiras ondas no mapa Cellar;Ukończ pierwsze 10 fal na mapie Piwnica.;"Пройдите первые 10 волн на карте ""Подвал"".";Bodrum haritasındaki ilk 10 dalgayı tamamlayın
ACHIEV_WOODS_DESC;Complete wave 15 on the Descent map;Schließe Wave 15 auf der Map Abstieg ab.;Terminez la vague 15 sur la carte Descent;Completa l'ondata 15 sulla mappa Discesa;Completa la oleada 15 del mapa Descent;完成后裔地图上的第 15 波;降下マップのウェーブ15を完了する;하강 지도의 15번 웨이브 완료;Completar a onda 15 no mapa Descent;Ukończ falę 15 na mapie Descent;"Завершите волну 15 на карте ""Спуск";İniş haritasında 15. dalgayı tamamla
ACHIEV_STONEHOLD_DESC;Complete all waves in the Forest map;Schließe alle Waves auf der Map Wälder ab.;Terminer toutes les vagues de la carte Forêt;Completate tutte le ondate nella mappa Foresta;Completa todas las oleadas del mapa Bosque;完成森林地图中的所有波次;Forestマップの全ウェーブをクリア;숲 지도의 모든 파도 완료;Completar todas as vagas no mapa Floresta;Ukończ wszystkie fale na mapie Las;"Пройдите все волны на карте ""Лес";Orman haritasındaki tüm dalgaları tamamlayın
ACHIEV_SANDS_DESC;Complete all waves in the Stonehold map;Schließe alle Waves auf der Map Stonehold ab.;Terminez toutes les vagues de la carte Stonehold;Completa tutte le ondate nella mappa Stonehold;Completa todas las oleadas del mapa Stonehold;完成石堡地图中的所有波次;ストーンホールド・マップの全ウェーブをクリア;돌거점 맵에서 모든 파도 완료;Completar todas as ondas no mapa Stonehold;Ukończ wszystkie fale na mapie Stonehold;"Пройдите все волны на карте ""Стоунхолд";Stonehold haritasındaki tüm dalgaları tamamlayın
ACHIEV_HIDEOUT_DESC;Complete all waves in the Eternal Sands map;Schließe alle Waves auf der Map Ewige Sande ab.;Terminer toutes les vagues de la carte Sables éternels;Completa tutte le ondate nella mappa Sabbie eterne;Completa todas las oleadas del mapa Eternal Sands.;完成永恒之沙地图中的所有波次;Eternal Sandsマップの全ウェーブを完了する;영원한 모래 맵에서 모든 파도 완료하기;Completar todas as ondas no mapa Eternal Sands;Ukończ wszystkie fale na mapie Wieczne Piaski.;"Пройдите все волны на карте ""Вечные пески";Ebedi Kumlar haritasındaki tüm dalgaları tamamlayın
ACHIEV_ICE_DESC;Complete all waves in the Hideout map;Schließe alle Waves auf der Map Versteck ab.;Terminer toutes les vagues de la carte Cachette;Completa tutte le ondate nella mappa Hideout;Completa todas las oleadas del mapa Escondite;完成藏身处地图中的所有波段;隠れ家マップの全ウェーブを制覇せよ;은신처 맵에서 모든 파도 완료;Completar todas as vagas no mapa Hideout;Ukończ wszystkie fale na mapie Kryjówka;"Пройдите все волны на карте ""Укрытие";Hideout haritasındaki tüm dalgaları tamamlayın
ACHIEV_MOUNTAINS_DESC;Complete all waves in the Frozen Plains map;Schließe alle Waves auf der Map Gefrorene Ebenen ab.;Terminez toutes les vagues de la carte Frozen Plains.;Completate tutte le ondate nella mappa Pianure ghiacciate;Completa todas las oleadas del mapa Llanuras heladas;完成冰冻平原地图中的所有波浪;Frozen Plainsマップのすべてのウェーブを完了する;얼어붙은 평원 맵의 모든 파도를 완료하세요.;Completar todas as ondas no mapa Planícies Congeladas;Ukończ wszystkie fale na mapie Mroźne równiny.;"Пройдите все волны на карте ""Замороженные равнины";Donmuş Ovalar haritasındaki tüm dalgaları tamamlayın
ACHIEV_GATEKEEPER_DESC;Complete all waves in the Mountain Peaks map;Schließe alle Waves auf der Map Berggipfel ab.;Terminer toutes les vagues de la carte Pics montagneux;Completa tutte le ondate nella mappa Cime di montagna;Completa todas las oleadas en el mapa Picos montañosos;完成山峰地图中的所有波段;Mountain Peaksマップの全ウェーブを制覇する;산봉우리 맵에서 모든 파도 완료하기;Completar todas as vagas no mapa Picos da Montanha;Ukończ wszystkie fale na mapie Mountain Peaks;"Пройдите все волны на карте ""Горные вершины";Dağ Tepeleri haritasındaki tüm dalgaları tamamlayın
ACHIEV_LAVA_DESC;Complete all waves on the Aureate Dome map;Schließe alle Waves auf der Map Aureat-Kuppel ab.;Terminez toutes les vagues sur la carte Dôme d'Aureate.;Completa tutte le ondate nella mappa Cupola Aureata;Completa todas las oleadas en el mapa Aureate Dome;完成奥瑞特穹顶地图中的所有波段;Aureate Domeマップの全ウェーブを制覇する;아우레트 돔 지도의 모든 파도 완료하기;Completar todas as vagas no mapa Cúpula Aureate;Ukończ wszystkie fale na mapie Aureate Dome;Пройдите все волны на карте Aureate Dome;Aureate Dome haritasındaki tüm dalgaları tamamlayın
ACHIEV_SWAMP_DESC;Complete all waves in the Forlorn Lands map;Schließe alle Waves auf der Map Verlorene Lande ab.;Terminez toutes les vagues sur la carte des Terres abandonnées.;Completa tutte le ondate nella mappa Terre Perdute;Completa todas las oleadas en el mapa Forlorn Lands.;完成荒芜之地地图中的所有波段;Forlorn Landsマップの全ウェーブを完了する;황폐한 땅 맵에서 모든 파도 완료하기;Completar todas as vagas no mapa Forlorn Lands;Ukończ wszystkie fale na mapie Forlorn Lands;"Пройдите все волны на карте ""Затерянные земли";Forlorn Lands haritasındaki tüm dalgaları tamamlayın
