id;en;de;fr;it;es;zh;ja;ko;pt;pl;ru;tr
GREATSWORD;Greatsword;Großschwert;Greatsword;Greatsword;Greatsword;大剑;グレートソード;대검;Grandes palavras-chave;Wielki miecz;Великий меч;Büyük Kılıç
GREATSWORD_DESC;-;-;-;-;-;;;;;-;-;-
SHORTSWORD;Shortsword;Kurzschwert;Épée courte;Spada corta;Espada corta;短剑;ショートソード;쇼트소드;Shortsword;Krótki miecz;Шортворд;Kısa Kılıç
SHORTSWORD_DESC;-;-;-;-;-;-;-;-;-;-;-;-
DAGGER;Dagger;Dolch;Dagger;Dagger;Daga;匕首;ダガー;단검;Adaga;Sztylet;Кинжал;Hançer
DAGGER_DESC;-;-;-;-;-;-;-;-;-;-;-;-
FLAIL;Flail;Morgenstern;Fléau;Flail;Azotador;连枷;フレイル;도리깨;Flail;Flail;Flail;Flail
FLAIL_DESC;-;-;-;-;-;-;-;-;-;-;-;-
LIGHT_STAFF;Light Staff;Stab des Lichts;Personnel léger;Personale leggero;Personal ligero;光明法杖;ライトスタッフ;빛의 지팡이;Pessoal Ligeiro;Lekki personel;Легкий персонал;Hafif Personel
LIGHT_STAFF_DESC;-;-;-;-;-;-;-;-;-;-;-;-
DARK_STAFF;Dark Staff;Stab der Dunkelheit;Bâton noir;Bastone scuro;Báculo oscuro;黑暗法杖;ダークスタッフ;어둠의 지팡이;Pessoal das Trevas;Mroczny personel;Темный посох;Karanlık Asa
DARK_STAFF_DESC;Projectiles pierce through 1 enemy.;Projektile durchdringen einen Gegner.;Les projectiles transpercent un ennemi.;I proiettili attraversano un nemico.;Los proyectiles atraviesan a un enemigo.;投射物会穿透1个敌人。;敵1体を貫通する弾丸を発射する。;투사체가 적 1명을 관통합니다.;Os projécteis atravessam 1 inimigo.;Pociski przebijają 1 przeciwnika.;Снаряды пронзают 1 врага насквозь.;Mermiler 1 düşmanı delip geçer.
ICE_STAFF;Ice Staff;Eis-Stab;Bâton de glace;Personale di ghiaccio;Personal de hielo;寒冰法杖;アイススタッフ;얼음 지팡이;Cajado de gelo;Ice Staff;Ледяной посох;Buz Personeli
ICE_STAFF_DESC;Projectiles freeze enemies.;Projektile frieren Gegner ein.;Les projectiles gèlent les ennemis.;I proiettili congelano i nemici.;Los proyectiles congelan a los enemigos.;投射物会冻结敌人。;弾丸が敵を凍らせる。;투사체가 적을 얼려버립니다.;Os projécteis congelam os inimigos.;Pociski zamrażają wrogów.;Снаряды замораживают врагов.;Mermiler düşmanları dondurur.
FOCUS;Focus;Focus;Focus;Focus;Enfoque;法宝;フォーカス;집중;Foco;Skupienie;Фокус;Odaklanma
FOCUS_DESC;Projectiles explode on hit. Scaling with AoE size.;Projektile explodieren bei einem Treffer. Skaliert mit der AoE-Größe.;Les projectiles explosent lorsqu'ils sont touchés. Mise à l'échelle avec la taille de l'AoE.;I proiettili esplodono al momento del colpo. Scala con le dimensioni dell'AoE.;Los proyectiles explotan al impactar. Escala con el tamaño del AoE.;投射物在击中时爆炸。爆炸范围随AOE大小变化。;命中時に爆発する。AoEの大きさに応じて変化する。;투사체가 적중하면 폭발합니다. 범위 크기에 따라 확장됩니다.;Os projécteis explodem ao serem atingidos. Escala com tamanho de AoE.;Pociski wybuchają przy trafieniu. Skalowanie wraz z rozmiarem zasięgu.;Снаряды взрываются при попадании. Масштаб зависит от размера АоЕ.;Mermiler isabet ettiğinde patlar. AoE boyutu ile ölçeklendirilir.
SCYTHE;Scythe;Sense;Scythe;Falce;Guadaña;镰刀;大鎌;낫;Scythe;Kosa;Коса;Tırpan
SCYTHE_DESC;Huge attack range.;Enorme Angriffsreichweite.;Une énorme portée d'attaque.;Enorme raggio d'attacco.;Enorme rango de ataque.;巨大的攻击范围。;攻撃範囲が広くなる。;공격 범위가 넓어집니다.;Enorme alcance de ataque.;Ogromny zasięg ataku.;Огромная дальность атаки.;Büyük saldırı menzili.
BOW;Bow;Bogen;Arc;Arco;Arco;弓;弓;활;Arco;Łuk;Лук;Yay
BOW_DESC;Fast bullet speed.;Hohe Projektilgeschwindigkeit.;Vitesse de balle rapide.;Velocità del proiettile.;Velocidad de bala rápida.;快速的投射物速度。;弾速が速い。;총알 속도가 빠릅니다.;Velocidade rápida da bala.;Duża prędkość pocisku.;Быстрая скорость пули.;Mermi hızı yüksek.
PHOENIX_SWORD;Sword of the Phoenix;Schwert des Phönix;L'épée du Phénix;Spada della Fenice;Espada del Fénix;凤凰之剑;フェニックスソード;불사조의 검;Espada da Fênix;Miecz Feniksa;Меч Феникса;Anka Kuşunun Kılıcı
PHOENIX_SWORD_DESC;Setting enemies on fire.;Setzt Gegner in Brand.;Mettre le feu aux ennemis.;Dare fuoco ai nemici.;Prender fuego a los enemigos.;使敌人着火。;敵を燃やす。;적을 불태웁니다.;Incendiar os inimigos.;Podpalanie wrogów.;Поджигайте врагов.;Düşmanları ateşe vermek.
PHOENIX_STAFF;Staff of the Phoenix;Stab des Phönix;Personnel du Phénix;Personale della Fenice;Personal del Fénix;凤凰法杖;フェニックスの杖;불사조의 지팡이;Pessoal da Phoenix;Personel Feniksa;Персонал Феникса;Anka Kuşu Personeli
PHOENIX_STAFF_DESC;Setting enemies on fire.;Setzt Gegner in Brand.;Mettre le feu aux ennemis.;Dare fuoco ai nemici.;Prender fuego a los enemigos.;使敌人着火。;敵に火をつける;적을 불태웁니다.;Incendiar os inimigos.;Podpalanie wrogów.;Поджигайте врагов.;Düşmanları ateşe vermek.
THROWING_AXE;Throwing Axe;Wurfaxt;Hache de jet;Ascia da lancio;Hacha arrojadiza;投掷飞斧;スロウイングアックス;던지는 도끼;Atirar Machado;Topór do rzucania;Метательный топор;Fırlatılan Balta
THROWING_AXE_DESC;Slow projectiles with a big range.;Langsame Projektile mit großer Reichweite.;Des projectiles lents avec une grande portée.;Proiettili lenti con grande gittata.;Proyectiles lentos con gran alcance.;缓慢的投射物，射程远。;射程距離の長い低速の弾丸。;넓은 범위의 느린 투사체를 던집니다.;Projécteis lentos com um grande alcance.;Powolne pociski o dużym zasięgu.;Медленные снаряды с большим радиусом действия.;Büyük bir menzile sahip yavaş mermiler.
THROWING_SPEAR;Throwing Spear;Wurfspeer;Lanceur;Javelin;Jabalina;投掷长矛;スロウイングスピア;던지는 창;Lança de arremesso;Włócznia do rzucania;Метательное копье;Fırlatılan Mızrak
THROWING_SPEAR_DESC;Projectiles knock back enemies.;Projektile stoßen Gegner zurück.;Les projectiles font reculer les ennemis.;I proiettili colpiscono i nemici.;Los proyectiles hacen retroceder a los enemigos.;投射物会击退敌人。;敵をノックバックさせる弾丸。;투사체가 적을 밀어냅니다.;Os projécteis fazem recuar os inimigos.;Pociski odrzucają przeciwników.;Снаряды отбрасывают врагов назад.;Mermiler düşmanları geri savurur.
HAMMER;Hammer;Hammer;Marteau;Martello;Martillo;锤子;ハンマー;망치;Martelo;młotek;молот;Çekiç
HAMMER_DESC;Enemy hits create ground slam which scales with melee damage and AoE size.;Feindliche Treffer erzeugen Ground Slam welcher mit Nahkampfschaden und der AoE-Größe skaliert.;Les ennemis qui sont touchés créent un choc au sol qui s'adapte aux dégâts de mêlée et à la taille de l'AoE.;I colpi dei nemici creano un colpo al suolo che scala con i danni in mischia e le dimensioni dell'AoE.;Los golpes del enemigo crean un golpe en el suelo que escala con el daño cuerpo a cuerpo y el tamaño del AoE.;敌人击中后会产生地面猛击，其伤害与近战伤害和AOE大小成正比。;敵に当たった場合、MeleeダメージとAoEサイズに応じた地面を叩きつける。;적을 내리치면 근접 피해와 광역 공격력에 따라 확장되는 땅을 내리칩니다.;Inimigo acerta em terreno de criatura que se escalda com danos de corpo a corpo e tamanho de AoE.;Uderzenia wroga powodują uderzenie w ziemię, które skaluje się wraz z obrażeniami zadawanymi w walce wręcz i zasięgiem.;Попадания противника вызывают шквал земли, который увеличивает урон от ближнего боя и размер АоЕ.;Düşman vuruşları, yakın dövüş hasarı ve etki alanı boyutuyla ölçeklenen zemin çarpması yaratır.
MAGIC_SHIELD;Magic Shield;Magisches Schild;Bouclier magique;Scudo magico;Escudo mágico;魔法盾;Magic Shield;마법 방패;Escudo Mágico;Magiczna tarcza;Магический щит;Sihirli Kalkan
MAGIC_SHIELD_DESC;20% chance on attack to create shield that prevents enemies and projectiles from entering. Scales with AoE size.;20% Chance, bei einem Angriff einen Schild zu erzeugen, der Feinde und Projektile am Eindringen hindert. Skaliert mit der AoE-Größe.;20% de chances sur l'attaque de créer un bouclier qui empêche les ennemis et les projectiles d'entrer. S'adapte à la taille de l'AoE.;20% di possibilità in attacco di creare uno scudo che impedisce ai nemici e ai proiettili di entrare. Scala con la dimensione dell'AoE.;20% de probabilidad al atacar de crear un escudo que impide la entrada de enemigos y proyectiles. Escala con el tamaño de AoE.;攻击时有 20% 的几率制造护盾，阻止敌人和射弹进入。随 AoE 大小缩放。;攻撃時に20%の確率で敵や投擲物の侵入を防ぐシールドを生成する。AoEの大きさによって変化する。;공격 시 20% 확률로 적과 투사체가 들어오는 것을 막는 보호막을 생성합니다. 범위 크기에 따라 증가합니다.;20% de chance no ataque de criar um escudo que impede a entrada de inimigos e projéteis. Aumenta com o tamanho da AoE.;20% szans przy ataku na stworzenie tarczy, która zapobiega przedostawaniu się wrogów i pocisków. Skaluje się wraz z rozmiarem zasięgu.;С вероятностью 20% при атаке создает щит, который не пропускает врагов и снаряды. Зависит от размера АоЕ.;20 saldırı şansı ile düşmanların ve mermilerin girmesini engelleyen bir kalkan oluşturur. Etki alanı boyutuyla ölçeklenir.
BEAR_CALLER;Bear Caller;Bärenrufer;Appeleur d'ours;Orso chiamante;Llamador de osos;熊的召唤者;ベアコーラー;곰 호출자;Chamador do Urso;Bear Caller;Медвежий зов;Ayı Arayan
BEAR_CALLER_DESC;Instead of attacking each attack summons a bear. Bear attacks are like your own melee attacks.;Anstatt anzugreifen, beschwört jeder Angriff einen Bären. Bärenangriffe sind wie deine eigenen Nahkampfangriffe.;Au lieu d'attaquer, chaque attaque convoque un ours. Les attaques de l'ours sont comme vos propres attaques de mêlée.;Invece di attaccare, ogni attacco evoca un orso. Gli attacchi dell'orso sono come gli attacchi in mischia.;En lugar de atacar, cada ataque invoca a un oso. Los ataques de oso son como tus propios ataques cuerpo a cuerpo.;每一次攻击都会召唤出一只熊，而不是攻击。熊的攻击就像你自己的近战攻击。;攻撃する代わりに、それぞれの攻撃は熊を召喚する。熊の攻撃は自分の近接攻撃のようなものです。;공격할 때마다 공격하는 대신 곰을 소환합니다. 곰의 공격은 자신의 근접 공격과 같습니다.;Em vez de atacar cada ataque, convoca um urso. Os ataques de ursos são como os seus próprios ataques corpo-a-corpo.;Zamiast atakować, każdy atak przywołuje niedźwiedzia. Ataki niedźwiedzia są jak twoje własne ataki w walce wręcz.;Вместо атаки каждая атака вызывает медведя. Атаки медведя похожи на ваши собственные атаки ближнего боя.;Saldırmak yerine her saldırı bir ayı çağırır. Ayı saldırıları kendi yakın dövüş saldırılarınız gibidir.
DAROKIN_STAFF;Darokin's Staff;Darokins Stab;Bâton de Darokin;Bastone di Darokin;Báculo de Darokin;达洛金之杖;ダロキンのスタッフ;다로킨의 지팡이;O pessoal de Darokin;Personel Darokina;Штаб Дарокина;Darokin'in Personeli
DAROKIN_STAFF_DESC;Projectiles have 25% chance to unleash a light ray upon hit enemies. Damage scales with melee damage.;Projektile haben eine Chance von 25%, einen Lichtstrahl auf getroffene Gegner zu entfesseln. Der Schaden skaliert mit dem Nahkampfschaden.;Les projectiles ont 25% de chances de libérer un rayon de lumière sur les ennemis touchés. Les dégâts sont proportionnels aux dégâts de mêlée.;I proiettili hanno una probabilità del 25% di scatenare un raggio di luce sui nemici colpiti. Il danno varia in base ai danni in mischia.;Los proyectiles tienen un 25% de probabilidad de desatar un rayo de luz sobre los enemigos golpeados. El daño es proporcional al daño cuerpo a cuerpo.;投射物有25%的几率向被击中的敌人释放一道光束。伤害与近战伤害成正比。;25%の確率で、命中した敵に光線を放つ。ダメージは近接攻撃によるダメージと同じになる。;투사체가 적중한 적에게 25% 확률로 광선을 발사합니다. 피해량은 근접 공격력에 따라 증가합니다.;Os projécteis têm 25% de hipóteses de desencadear um raio de luz sobre os inimigos atingidos. Escalas de danos com danos de corpo a corpo.;Pociski mają 25% szans na uwolnienie promienia światła na trafionych wrogach. Obrażenia skalują się wraz z obrażeniami w walce wręcz.;Снаряды с вероятностью 25% испускают луч света на пораженных врагов. Урон зависит от урона ближнего боя.;Mermilerin isabet ettiği düşmanlara ışık ışını salma şansı %25'tir. Hasar, yakın dövüş hasarı ile ölçeklenir.
UNSTABLE_POTION;Unstable Potion;Instabiler Trank;Potion instable;Pozione instabile;Poción inestable;不稳定的药水;不安定なポーション;불안정한 물약;Poção Instável;Niestabilna mikstura;Нестабильное зелье;Kararsız İksir
